Player,Rd,Pk,Age at Draft,Height (in),MPG,AST,TOV,AST/TOV,AST%,TOV%,SOS
Trae Young,1,5,19.754,74,35.4,8.7,5.2,1.7,48.6,18.2,10.56
Collin Sexton,1,8,19.461,75,29.9,3.6,2.8,1.3,27.8,14.2,10.64
SGA,1,11,19.943,78,33.7,5.1,2.7,1.9,28.8,17.9,10.73
Jerome Robinson,1,13,21.326,79,34.6,3.3,2.9,1.1,20.6,15.2,7.65
Troy Brown,1,15,18.900,79,31.2,3.2,2.5,1.3,18.7,18.8,4.84
Donte DiVincenzo,1,17,21.386,77,25.4,2.8,1.6,1.8,16.2,15.7,9.74
Lonnie Walker,1,18,19.519,76,27.8,1.9,1.2,1.6,13.0,9.6,6.96
Kevin Huerter,1,19,19.817,79,31.9,3.0,1.9,1.6,19.1,16.3,8.11
Josh Okogie,1,20,19.803,76,33.0,2.0,2.3,0.9,13.6,12.8,7.84
Grayson Allen,1,21,22.703,76,27.9,3.0,1.7,1.8,19.6,12.4,10.27
Chandler Hutchison,1,22,22.152,79,24.0,2.1,1.9,1.1,18.7,15.0,2.57
Aaron Holiday,1,23,21.723,73,31.8,4.7,3.0,1.6,25.5,19.6,7.65
Landry Shamet,1,26,21.274,76,28.6,4.1,1.5,2.7,25.4,13.2,4.22
